source	target	weight
A4GALT	CMPK2	1
A4GALT	CSGALNACT2	1
A4GALT	DPM2	1
A4GALT	ENTPD3	1
A4GALT	ENTPD4	1
A4GALT	ENTPD5	1
A4GALT	FCGRT	1
A4GALT	GALC	1
A4GALT	GALT	1
A4GALT	GLA	1
A4GALT	GLB1	1
A4GALT	GXYLT1	1
A4GALT	HEXA	1
A4GALT	ICK	1
A4GALT	LFNG	1
A4GALT	MGAT5B	1
A4GALT	NME1	1
A4GALT	NME2	1
A4GALT	NME2P1	1
A4GALT	NME3	1
A4GALT	NME4	1
A4GALT	NME5	1
A4GALT	NME6	1
A4GALT	NME7	1
A4GALT	OGT	1
A4GALT	PFKP	1
A4GALT	PIGA	1
A4GALT	PIGC	1
A4GALT	PIGH	1
A4GALT	PIGP	1
A4GALT	PIGQ	1
A4GALT	PIGY	1
A4GALT	PLOD3	1
A4GALT	PNPT1	1
A4GALT	POGLUT1	1
A4GALT	POMGNT1	1
A4GALT	PTGFRN	1
A4GALT	RRM1	1
A4GALT	RRM2	1
A4GALT	RRM2B	1
A4GALT	SI	1
A4GALT	ST3GAL5	1
A4GALT	UGT1A1	1
A4GALT	UGT1A10	1
A4GALT	UGT1A3	1
A4GALT	UGT1A4	1
A4GALT	UGT1A5	1
A4GALT	UGT1A6	1
A4GALT	UGT1A7	1
A4GALT	UGT1A8	1
A4GALT	UGT1A9	1
A4GALT	UGT2A1	1
A4GALT	UGT2A2	1
A4GALT	UGT2A3	1
A4GALT	UGT2B10	1
A4GALT	UGT2B11	1
A4GALT	UGT2B15	1
A4GALT	UGT2B17	1
A4GALT	UGT2B28	1
A4GALT	UGT2B4	1
A4GALT	UGT2B7	1
A4GALT	UGT8	1
A4GALT	XYLT1	1
A4GALT	XYLT2	1
A4GNT	ARF5	1
A4GNT	ENTPD4	1
A4GNT	FAM213A	1
A4GNT	FAM3C	1
A4GNT	GLB1L2	1
A4GNT	GP1BB	1
A4GNT	IMPA2	1
A4GNT	JMJD8	1
A4GNT	LMF2	1
A4GNT	PDXDC1	1
A4GNT	POMT1	1
A4GNT	RNF167	1
A4GNT	TMEM206	1
AAAS	AGO2	1
AAAS	ALYREF	1
AAAS	AURKB	1
AAAS	BANF1	1
AAAS	BIRC5	1
AAAS	C11orf73	1
